date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation,city
2014-07,77.74193548387096,67.74193548387096,87.29032258064517,67.96774193548387,89.0,57.58064516129032,101.03225806451613,1947.9032258064517,1961.5483870967741,0.14129032258064517,0.11870967741935484,2.770967741935484,Charlotte
2014-07,81.87096774193549,72.19354838709677,90.87096774193549,72.6774193548387,91.93548387096774,65.61290322580645,101.16129032258064,1976.7096774193549,1935.4516129032259,0.08870967741935484,0.21129032258064515,2.7929032258064517,Jacksonville
2014-07,74.87096774193549,65.80645161290323,83.35483870967742,63.67741935483871,83.25806451612904,51.935483870967744,99.54838709677419,1892.9354838709678,1953.032258064516,0.0,0.0003225806451612903,0.047419354838709675,Los Angeles
2014-07,72.6774193548387,63.806451612903224,80.93548387096774,67.74193548387096,84.3225806451613,50.87096774193548,103.03225806451613,1956.8064516129032,1954.9354838709678,0.16709677419354838,0.1293548387096774,2.491612903225806,Chicago
2014-07,69.45161290322581,57.96774193548387,80.41935483870968,55.645161290322584,75.74193548387096,47.064516129032256,94.64516129032258,1958.3548387096773,1988.032258064516,0.024838709677419354,0.02258064516129032,0.4838709677419355,Seattle
2014-07,96.74193548387096,85.90322580645162,107.06451612903226,83.58064516129032,106.2258064516129,66.41935483870968,116.09677419354838,1922.9032258064517,1978.3225806451612,0.001935483870967742,0.03387096774193549,1.1312903225806452,Pheonix
2014-07,78.29032258064517,69.2258064516129,86.74193548387096,69.35483870967742,86.93548387096774,54.935483870967744,100.83870967741936,1956.9354838709678,1967.032258064516,0.13870967741935483,0.14032258064516132,2.7580645161290325,Philadelphia
2014-07,83.96774193548387,74.3225806451613,93.06451612903226,75.0,93.7741935483871,65.74193548387096,102.16129032258064,1944.8064516129032,1977.3548387096773,0.17419354838709677,0.12225806451612903,2.865806451612903,Houston
2014-07,76.29032258064517,68.80645161290323,83.41935483870968,68.7741935483871,83.90322580645162,55.83870967741935,100.45161290322581,1924.2903225806451,1974.3225806451612,0.1803225806451613,0.14838709677419354,2.3851612903225807,New York
2014-07,70.41935483870968,60.903225806451616,79.29032258064517,66.0,84.93548387096774,50.0,102.16129032258064,1950.967741935484,1947.5483870967741,0.1,0.14677419354838708,2.553548387096774,Indianapolis
2014-08,75.03225806451613,66.12903225806451,83.2258064516129,67.93548387096774,85.35483870967742,51.74193548387097,98.48387096774194,1963.483870967742,1962.483870967742,0.11451612903225808,0.11290322580645161,2.9212903225806452,Philadelphia
2014-08,74.06451612903226,65.03225806451613,82.64516129032258,64.35483870967742,83.87096774193549,48.225806451612904,98.2258064516129,1952.3225806451612,1936.967741935484,0.09516129032258065,0.10096774193548387,2.1500000000000004,Indianapolis
2014-08,75.6774193548387,68.06451612903226,82.93548387096774,66.19354838709677,82.16129032258064,49.32258064516129,99.29032258064517,1956.9354838709678,1957.5483870967741,0.2993548387096774,0.12870967741935485,2.068064516129032,Chicago
2014-08,84.7741935483871,75.16129032258064,93.90322580645162,74.80645161290323,94.54838709677419,62.87096774193548,104.54838709677419,1961.1612903225807,1969.6451612903227,0.04,0.12129032258064516,2.8445161290322583,Houston
2014-08,82.29032258064517,72.54838709677419,91.7741935483871,72.7741935483871,90.96774193548387,65.80645161290323,99.0,1964.741935483871,1959.3548387096773,0.09774193548387096,0.21935483870967742,3.415483870967742,Jacksonville
2014-08,74.70967741935483,66.58064516129032,82.45161290322581,67.90322580645162,82.6774193548387,54.096774193548384,98.12903225806451,1932.9354838709678,1959.7096774193549,0.07258064516129033,0.14322580645161292,3.1629032258064513,New York
2014-08,91.80645161290323,80.83870967741936,102.29032258064517,82.7741935483871,104.51612903225806,65.19354838709677,113.6774193548387,1938.483870967742,1988.483870967742,0.03774193548387097,0.03225806451612903,1.02,Pheonix
2014-08,69.38709677419355,58.806451612903224,79.48387096774194,55.935483870967744,76.25806451612904,46.38709677419355,92.16129032258064,1955.967741935484,1980.8387096774193,0.05838709677419355,0.02838709677419355,0.7493548387096775,Seattle
2014-08,75.61290322580645,65.7741935483871,84.83870967741936,64.0,84.48387096774194,52.45161290322581,100.06451612903226,1896.8064516129032,1948.0967741935483,0.0012903225806451613,0.0012903225806451613,0.20870967741935487,Los Angeles
2014-08,76.58064516129032,66.74193548387096,85.96774193548387,67.25806451612904,87.58064516129032,56.0,100.16129032258064,1944.8709677419354,1961.3870967741937,0.12064516129032259,0.13612903225806453,2.6406451612903226,Charlotte
2014-09,69.93333333333334,62.2,77.26666666666667,60.86666666666667,75.26666666666667,44.86666666666667,93.96666666666667,1928.3,1939.7666666666667,0.04033333333333333,0.14266666666666666,3.288333333333333,New York
2014-09,65.06666666666666,55.833333333333336,73.7,52.13333333333333,70.56666666666666,40.766666666666666,87.73333333333333,1955.5666666666666,1982.7666666666667,0.07433333333333333,0.05,0.875,Seattle
2014-09,70.8,62.166666666666664,78.83333333333333,60.36666666666667,78.06666666666666,43.46666666666667,94.33333333333333,1959.1666666666667,1945.7,0.05633333333333333,0.126,2.7876666666666665,Philadelphia
2014-09,89.26666666666667,78.8,99.2,76.93333333333334,99.83333333333333,55.833333333333336,109.76666666666667,1930.8666666666666,1984.1666666666667,0.16999999999999998,0.021333333333333333,1.2066666666666668,Pheonix
2014-09,78.03333333333333,69.83333333333333,85.6,69.6,86.93333333333334,57.43333333333333,96.13333333333334,1968.6666666666667,1954.5333333333333,0.3266666666666667,0.27299999999999996,4.572333333333333,Jacksonville
